Rank	Ragione sociale	Partita IVA	P.IVA valida (checksum)	Codice fiscale	N. REA	CCIAA	Forma giuridica	Indirizzo sede legale	CAP	Comune	Prov.	Capitale sociale (€)	ATECO	Data iscrizione	Stato attività	Fatturato (€)	Anno bilancio	Dipendenti	PEC	VIES valida	Denominazione VIES	Indirizzo VIES	Fonte anagrafica (URL)
1	GESTORE DEI MERCATI ENERGETICI S.P.A.	06208031002	SI	06208031002	953866	RM	Società per Azioni	Viale Maresciallo Pilsudski 122/124	00197	Roma	RM	7500000	3515	21/12/2000	Attivo	40503424402	2024	122		SI	GESTORE DEI MERCATI ENERGETICI SPA !!GME SPA	VIALE MARESCIALLO PILSUDSKI 122/124, 00197 ROMA RM	https://www.ufficiocamerale.it/9769/gestore-dei-mercati-energetici-spa
2	ENI TRADE & BIOFUELS S.P.A.	10133500966	SI	10133500966	1609163	RM	SOCIETA' PER AZIONI	PIAZZALE ENRICO MATTEI 1	00144	ROMA	RM	3050000	4681	01/01/2021	Attiva	36110164591	2024	99		SI	ENI TRADE & BIOFUELS S.P.A.	PIAZZALE ENRICO MATTEI 1, 00144 ROMA RM	https://www.ufficiocamerale.it/7778/eni-trade-biofuels-spa
3	ENI S.P.A.	00905811006	SI	00484960588	756453	RM	Società per Azioni	Piazzale Enrico Mattei 1	00144	Roma	RM	4005358876	19201	07/08/1992	Attiva	35026371529	2024	11623	eni@pec.eni.it	SI	ENI SPA	PIAZZALE ENRICO MATTEI 1 00144 ROMA RM	https://www.ufficiocamerale.it/4757/eni-spa
4	ENEL ENERGIA S.P.A.	06655971007	SI	06655971007	1150724	RM	SOCIETA' PER AZIONI	VIA LUIGI BOCCHERINI 15	00198	ROMA	RM	10000000	3515	31/12/2006	Attiva	23177386237	2024	1900		NO			https://www.ufficiocamerale.it/4652/enel-energia-spa
5	STELLANTIS EUROPE S.P.A.	07973780013	SI	07973780013	934697	TO	SOCIETA' PER AZIONI	CORSO GIOVANNI AGNELLI 200	10135	TORINO	TO	850000000	291	01/06/2000	Attiva	21323834620	2024	34706		SI	STELLANTIS EUROPE S.P.A.	CORSO AGNELLI 200 10135 TORINO TO	https://www.ufficiocamerale.it/1617/fca-italy-spa-in-forma-estesa-fiat-chrysler-automobiles-italy-spa-e-in-forma-abbreviata-fiat-group-automobiles-spa-e-fiat-auto-spa
6	KUWAIT PETROLEUM ITALIA S.P.A.	00891951006	SI	00435970587	73832	RM	Società per Azioni	Viale dell'Oceano Indiano 13	00144	Roma	RM	130000000	19201	25/06/2001		14941759584	2024	708	kuwaitpetroleum@pec.kuwaitpetroleum.it	SI	KUWAIT PETROLEUM ITALIA S.P.A.	VIALE OCEANO INDIANO 13 00144 ROMA RM	https://www.ufficiocamerale.it/9888/kuwait-petroleum-italia-spa
7	ENEL GLOBAL TRADING S.P.A.	05918271007	SI	05918271007	936646	RM	SOCIETA' PER AZIONI	VIALE REGINA MARGHERITA 125	00198	ROMA	RM	90885000	4681	30/12/1999		14481513962	2024	456		NO			https://www.ufficiocamerale.it/1757/enel-global-trading-spa
8	GESTORE DEI SERVIZI ENERGETICI - GSE S.P.A.	05754381001	SI	05754381001	918934	RM	Società per Azioni	Viale Maresciallo Pilsudski 92	00197	Roma	RM	26000000	3513	02/08/1999	Attiva	14403059144	2024	702	gse@pec.gse.it	SI	GESTORE DEI SERVIZI ENERGETICI - GSE SPA	VIALE MARESCIALLO PILSUDSKI 92 00197 ROMA RM	https://www.ufficiocamerale.it/2352/gestore-dei-servizi-energetici-gse-spa
9	ENILIVE S.P.A.	11403240960	SI	11403240960	1676444	RM	Società per Azioni	Viale Giorgio Ribotta 51	00144	Roma	RM	437094420	4681	12/12/2022	Attiva	13162232455	2024	1372		SI	ENILIVE S.P.A.	VIALE GIORGIO RIBOTTA 51 00144 ROMA RM	https://www.ufficiocamerale.it/7602/eni4cities-spa
10	EDISON S.P.A.	08263330014	SI	06722600019	1698754	MI	SOCIETA' PER AZIONI	FORO BUONAPARTE 31	20121	MILANO	MI	4736117250	821	04/11/2002	Attiva	12720885140	2024	1654		SI	EDISON SPA	FORO BUONAPARTE 31 20121 MILANO MI	https://www.ufficiocamerale.it/1646/edison-spa
11	ESE S.R.L.	17112421007	SI	17112421007	1696571	RM	SOCIETÀ A RESPONSABILITÀ LIMITATA	VIA SALARIA 1322	00138	ROMA	RM	1010000	19201	01/10/2023	Attiva	11327055429	2024	90		SI	ESE S.R.L.	VIA SALARIA 1322 00138 ROMA RM	https://www.ufficiocamerale.it/7301/ese-srl
12	LEONARDO - SOCIETA' PER AZIONI	00881841001	SI	00401990585	7031	RM	Società per Azioni	Piazza Monte Grappa 4	00195	Roma	RM	2543861738	303	20/02/1993	Attiva	10964526991	2024	32230		SI	LEONARDO SOCIETA' PER AZIONI	PIAZZA MONTE GRAPPA 4 00195 ROMA RM	https://www.ufficiocamerale.it/2510/leonardo-societa-per-azioni
