Rank	Ragione sociale	Partita IVA	P.IVA valida	Codice fiscale	CCIAA	N. REA	Forma giuridica	Indirizzo sede legale	CAP	Comune	Prov.	Regione	Capitale sociale (€)	ATECO	Attività (ATECO)	Settore	Data iscrizione	Stato attività	Fatturato (€)	Anno bilancio	Dipendenti	PEC	VIES	Denominazione VIES	Indirizzo VIES	Fonte dati anagrafici	Fonte classifica
1	GESTORE DEI MERCATI ENERGETICI S.P.A.	06208031002	SI	06208031002	RM	953866	SOCIETA' PER AZIONI	Viale Maresciallo Pilsudski 122/124	00197	Roma	RM	Lazio	7500000	35.15	Commercio di energia elettrica	Energia	21/12/2000	Attiva	40503424400	2024	123	gme@pec.mercatoelettrico.org	SI	GESTORE DEI MERCATI ENERGETICI SPA !!GME SPA	VIALE MARESCIALLO PILSUDSKI 122/124, 00197 ROMA RM	https://www.aziende.it/gestore-dei-mercati-energetici-s-p-a	monitoraitalia.it
2	ENI TRADE & BIOFUELS S.P.A.	10133500966	SI	10133500966	RM	1609163	SOCIETA' PER AZIONI	Piazzale Enrico Mattei 1	00144	Roma	RM	Lazio	22568759	46.81	Commercio all'ingrosso di combustibili solidi, liquidi, gassosi e di prodotti derivati	Petrolchimica	01/01/2021	Attiva	36110164600	2024	93	enitradeandbiofuels@pec.eni.com	SI	ENI TRADE & BIOFUELS S.P.A.	PIAZZALE ENRICO MATTEI 1, 00144 ROMA RM	https://www.aziende.it/eni-trade-biofuels-s-p-a	monitoraitalia.it
3	ENI S.P.A.	00905811006	SI	00484960588	RM	756453	SOCIETA' PER AZIONI	Piazzale Enrico Mattei 1	00144	Roma	RM	Lazio	4005358876	19.20.1	FABBRICAZIONE DI COKE E PRODOTTI DERIVANTI DALLA RAFFINAZIONE DEL PETROLIO	Petrolchimica	07/08/1992	Attiva	35026371500	2024	11458	eni@pec.eni.com	SI	ENI SPA	PIAZZALE ENRICO MATTEI 1 00144 ROMA RM	https://www.aziende.it/eni-s-p-a	monitoraitalia.it
4	ENEL ENERGIA S.P.A.	06655971007	SI	06655971007		1150724	SOCIETA' PER AZIONI	VIA LUIGI BOCCHERINI 15	00198	ROMA	RM	Lazio	10000000	3515		Energia	31/12/2006	Attiva	23177386200	2024			NO			https://www.aziende.it/enel-energia-s-p-a	monitoraitalia.it
5	STELLANTIS EUROPE S.P.A.	07973780013	SI	07973780013		934697	SOCIETA' PER AZIONI	CORSO GIOVANNI AGNELLI 200	10135	TORINO	TO	Piemonte	850000000	291		Manifatturiero	01/06/2000	Attiva	21323834600	2024			SI	STELLANTIS EUROPE S.P.A.	CORSO AGNELLI 200 10135 TORINO TO	https://www.aziende.it/stellantis-europe-s-p-a	monitoraitalia.it
6	INTESA SANPAOLO S.P.A.	10810700152	SI	00799960158		947156	SOCIETA' PER AZIONI	PIAZZA SAN CARLO 156	10121	TORINO	TO	Piemonte	11173747136.08	64191		Finanza	01/01/1998	Attiva	17310000000	2024			NO			https://www.aziende.it/intesa-sanpaolo-s-p-a	monitoraitalia.it
7	UNICREDIT S.P.A.	00348170101	SI	00348170101	MI	992	SOCIETA' PER AZIONI	Piazza Gae Aulenti 3	20154	Milano	MI	Lombardia	21509089303	64.19.1	Intermediazione monetaria di istituti monetari diverse dalle Banche centrali	Finanza	27/04/1870	Attiva	16769000000	2024	36615	comunicazioni@pec.unicredit.eu	SI	UNICREDIT S.P.A.	PIAZZA GAE AULENTI 3 20154 MILANO MI	https://www.aziende.it/unicredit-s-p-a	monitoraitalia.it
8	KUWAIT PETROLEUM ITALIA S.P.A.	00891951006	SI	00435970587	RM	73832	Società per Azioni	Viale Oceano Indiano 13	00144	Roma	RM	Lazio	130000000	19.20.1	Raffinerie di petrolio	Petrolchimica	25/06/2001	Attiva	15424972300	2024	726	kupitsede@pec.q8.it	SI	KUWAIT PETROLEUM ITALIA S.P.A.	VIALE OCEANO INDIANO 13 00144 ROMA RM	https://www.aziende.it/kuwait-petroleum-italia-s-p-a	monitoraitalia.it
9	ENEL GLOBAL TRADING S.P.A.	05918271007	SI	05918271007		936646	SOCIETA' PER AZIONI	VIALE REGINA MARGHERITA 125	00198	ROMA	RM	Lazio	90885000	4681		Energia	30/12/1999		14481514000	2024			NO			https://www.aziende.it/enel-global-trading-s-p-a	monitoraitalia.it
10	GESTORE DEI SERVIZI ENERGETICI - GSE S.P.A.	05754381001	SI	05754381001	RM	918934	SOCIETA' PER AZIONI	Viale Maresciallo Pilsudski 92	00197	Roma	RM	Lazio	26000000	35.13	Distribuzione di energia elettrica	Energia	02/08/1999	Attiva	14403059100	2024	724	gsespa@pec.gse.it	SI	GESTORE DEI SERVIZI ENERGETICI - GSE SPA	VIALE MARESCIALLO PILSUDSKI 92 00197 ROMA RM	https://www.aziende.it/gestore-dei-servizi-energetici-gse-s-p-a	monitoraitalia.it
11	ENILIVE S.P.A.	11403240960	SI	11403240960	RM	1676444	SOCIETA' PER AZIONI	Viale Giorgio Ribotta 51	00144	Roma	RM	Lazio	337098184	46.81	Commercio all'ingrosso di combustibili solidi, liquidi, gassosi e di prodotti derivati	Petrolchimica	12/12/2022	Attiva	13162232500	2024	1492	enilive@pec.enilive.com	SI	ENILIVE S.P.A.	VIALE GIORGIO RIBOTTA 51 00144 ROMA RM	https://www.aziende.it/enilive-s-p-a	monitoraitalia.it
12	EDISON S.P.A.	08263330014	SI	06722600019	MI	1698754	Società per Azioni	Foro Buonaparte 31	20121	Milano	MI	Lombardia	4736117250	82.1	ATTIVITÀ DI SUPPORTO PER LE FUNZIONI D'UFFICIO	Energia	04/11/2002	Attiva	12720885100	2024	1748	edison@pec.edison.it	SI	EDISON SPA	FORO BUONAPARTE 31 20121 MILANO MI	https://www.aziende.it/edison-s-p-a	monitoraitalia.it
13	UNIPOLSAI ASSICURAZIONI S.P.A.	00818570012	SI	00818570012		511469	SOCIETA' PER AZIONI	VIA STALINGRADO 45	40128	BOLOGNA	BO	Emilia-Romagna	2031456338	651		Finanza	31/12/2002	Attiva	12441100000	2024			NO			https://www.aziende.it/unipolsai-assicurazioni-s-p-a	monitoraitalia.it
14	ESE S.R.L.	17112421007	SI	17112421007	RM	1696571	Società a Responsabilità Limitata	Via Salaria 1322	00138	Roma	RM	Lazio	1010000	19.20.1	Fabbricazione di coke e prodotti derivanti dalla raffinazione del petrolio	Petrolchimica	01/10/2023	Attiva	11327055400	2024	88	ese_srl@legalmail.it	SI	ESE S.R.L.	VIA SALARIA 1322 00138 ROMA RM	https://www.aziende.it/ese-srl	monitoraitalia.it
